test_name,group,class,precision,recall,f1-score,support
test_parametrized_prompt_template,overall,False,0.0,0.0,0.0,2.0
test_parametrized_prompt_template,overall,True,0.6666666666666666,1.0,0.8,4.0
test_parametrized_prompt_template,overall,accuracy,,,0.6666666666666666,6
test_parametrized_prompt_template,overall,macro avg,0.3333333333333333,0.5,0.4,6.0
test_parametrized_prompt_template,overall,weighted avg,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
test_parametrized_prompt_template,Is this computer related? Say True or False,False,0.0,0.0,0.0,1.0
test_parametrized_prompt_template,Is this computer related? Say True or False,True,0.6666666666666666,1.0,0.8,2.0
test_parametrized_prompt_template,Is this computer related? Say True or False,accuracy,,,0.6666666666666666,3
test_parametrized_prompt_template,Is this computer related? Say True or False,macro avg,0.3333333333333333,0.5,0.4,3.0
test_parametrized_prompt_template,Is this computer related? Say True or False,weighted avg,0.4444444444444444,0.6666666666666666,0.5333333333333333,3.0
test_parametrized_prompt_template,Say True or False: Is this computer related?,False,0.0,0.0,0.0,1.0
test_parametrized_prompt_template,Say True or False: Is this computer related?,True,0.6666666666666666,1.0,0.8,2.0
test_parametrized_prompt_template,Say True or False: Is this computer related?,accuracy,,,0.6666666666666666,3
test_parametrized_prompt_template,Say True or False: Is this computer related?,macro avg,0.3333333333333333,0.5,0.4,3.0
test_parametrized_prompt_template,Say True or False: Is this computer related?,weighted avg,0.4444444444444444,0.6666666666666666,0.5333333333333333,3.0
